Birmanie,2008-07-21,2015-06-05,Embargo sur les armes,Gel des avoirs,Interdiction en matière d'aide techniques,,
Corée du Nord,2008-07-21,2016-11-23,Embargo sur les armes,Gel des avoirs,Restrictions à l'exportation ou à l'importation,Interdictions financières,Interdiction en matière d'aide techniques
Côte d'Ivoire,2008-07-21,2016-12-22,Embargo sur les armes,Gel des avoirs,Interdiction en matière d'aide techniques,,
Érythrée,,2016-11-23,Embargo sur les armes,Gel des avoirs,Interdictions financières,Interdiction en matière d'aide techniques,
Iran,2008-07-21,2016-02-05,Embargo sur les armes,Gel des avoirs,Restrictions à l'exportation ou à l'importation,Interdiction en matière d'aide techniques,
Iraq,2008-07-21,2016-11-23,Embargo sur les armes,Gel des avoirs,,,
Liban,2008-07-21,2015-07-22,Embargo sur les armes,Interdiction en matière d'aide techniques,,,
Libéria,2008-07-21,2016-12-22,Embargo sur les armes,Gel des avoirs,Interdiction en matière d'aide techniques,,
Libye,,2016-04-18,Embargo sur les armes,Gel des avoirs,Restrictions à l'exportation ou à l'importation,Interdictions financières,Interdiction en matière d'aide techniques
République centrafricaine,,2016-11-22,Embargo sur les armes,Gel des avoirs,Interdiction en matière d'aide techniques,,
République démocratique du Congo,2008-07-21,2016-11-23,Embargo sur les armes,Gel des avoirs,Interdiction en matière d'aide techniques,,
Russie,,2016-03-18,Gel des avoirs,Interdictions financières,,,
Somalie,2008-07-21,2016-11-23,Embargo sur les armes,Gel des avoirs,Restrictions à l'exportation ou à l'importation,Interdiction en matière d'aide techniques,
Soudan,2008-07-21,2016-11-23,Embargo sur les armes,Gel des avoirs,Interdiction en matière d'aide techniques,,
Soudan du Sud,,2016-04-18,Gel des avoirs,Interdictions financières,,,
Syrie,,2015-06-09,Embargo sur les armes,Gel des avoirs,Restrictions à l'exportation ou à l'importation,Interdictions financières,Interdiction en matière d'aide techniques
Tunisie,,2016-04-22,,,,,
Ukraine,,2016-11-28,Gel des avoirs,Restrictions à l'exportation ou à l'importation,Interdictions financières,Interdiction en matière d'aide techniques,
Yémen,,2016-11-23,Gel des avoirs,Interdictions financières,,,
Zimbabwe,2008-09-08,2015-07-22,Embargo sur les armes,Interdictions financières,Interdiction en matière d'aide techniques,,
