"Burma","['Arms Embargo', 'Asset Freeze', 'Technical Assistance Prohibition']"
"Central African Republic","['Arms Embargo', 'Asset Freeze', 'Technical Assistance Prohibition']"
"Côte d'Ivoire","['Arms Embargo', 'Asset Freeze', 'Technical Assistance Prohibition']"
"Democratic Republic of the Congo","['Arms Embargo', 'Asset Freeze', 'Technical Assistance Prohibition']"
"Eritrea","['Arms Embargo', 'Asset Freeze', 'Financial Prohibitions', 'Technical Assistance Prohibition']"
"Iran","['Arms Embargo', 'Asset Freeze', 'Export/Import Restrictions', 'Technical Assistance Prohibition']"
"Iraq","['Arms Embargo', 'Asset Freeze']"
"Lebanon","['Arms Embargo', 'Technical Assistance Prohibition']"
"Liberia","['Arms Embargo', 'Asset Freeze', 'Technical Assistance Prohibition']"
"Libya","['Arms Embargo', 'Asset Freeze', 'Export/Import Restrictions', 'Financial Prohibitions', 'Technical Assistance Prohibition']"
"North Korea","['Arms Embargo', 'Asset Freeze', 'Export/Import Restrictions', 'Financial Prohibitions', 'Technical Assistance Prohibition']"
"Russia","['Asset Freeze', 'Financial Prohibitions']"
"Somalia","['Arms Embargo', 'Asset Freeze', 'Export/Import Restrictions', 'Technical Assistance Prohibition']"
"South Sudan","['Asset Freeze', 'Financial Prohibitions']"
"Sudan","['Arms Embargo', 'Asset Freeze', 'Technical Assistance Prohibition']"
"Syria","['Arms Embargo', 'Asset Freeze', 'Export/Import Restrictions', 'Financial Prohibitions', 'Technical Assistance Prohibition']"
"Ukraine","['Asset Freeze', 'Export/Import Restrictions', 'Financial Prohibitions', 'Technical Assistance Prohibition']"
"Yemen","['Asset Freeze', 'Financial Prohibitions']"
"Zimbabwe","['Arms Embargo', 'Financial Prohibitions', 'Technical Assistance Prohibition']"
"Birmanie","['Embargo sur les armes', 'Gel des avoirs', ""Interdiction en matière d'aide techniques""]"
"Corée du Nord","['Embargo sur les armes', 'Gel des avoirs', ""Restrictions à l'exportation ou à l'importation"", 'Interdictions financières', ""Interdiction en matière d'aide techniques""]"
